jss_dje_323  10:00  +2:26   180
Eisen-rset4_285  12:37 +62:12    45
Coma1_139  13:00 +27:23   169
Coma3_243  12:58 +27:49   29
HSC_327 16:16 +43:38 -20
HSC_328 16:20 +43:38 -136
HSC_329 16:24 +43:28 137
HSC_330 16:16 +44:11 -28
HSC_331 16:19 +44:00 -126
HSC_332 16:20 +42:34 -120
BOSS1441_348   14:41 +39:58   -85
oph_343        16:07  -7:07    62
oph_344        16:04  -7:00    22
oph_345        16:08  -8:47    -98
oph_346        16:22  -7:01    -14
oph_347        16:32  -7:30    -101
JWIDF1_340     17:39 +68:56    99
JWIDF1_341     17:39 +68:56    75
JWIDF2_342     17:39 +68:56    75
